LATITUDE,LONGITUDE,FIPS,CITY,COLLISION_SEVERITY,COLLISION_TIME,Income_Category,Median_Household_Income,geometry,Crash_Count,GEO_ID,Census_Tract_Name,Total population,Area_km2,Population Density,Crash_Density
33.98614883422852,-118.08570861816406,6037500800,PICO RIVERA,3,1843,Middle Income,114310.0,POINT (-118.08570861816406 33.98614883422852),2,1400000U,5008.0,4717,1.9496211330682192,2419.444434610028,0.42399830400678395
34.06692123413086,-118.38977813720705,6037700902,BEVERLY HILLS,3,1725,Middle Income,103460.0,POINT (-118.38977813720705 34.06692123413086),1,1400000U,7009.02,6483,0.9544291690851444,6792.541772601307,0.15424957581366652
33.93775177001953,-118.33487701416016,6037601900,INGLEWOOD,3,1527,Low Income,65215.0,POINT (-118.33487701416016 33.93775177001953),2,1400000U,6019.0,4452,0.6966555866494848,6390.532259149138,0.44923629829290207
34.09901809692383,-117.74073028564452,6037401707,POMONA,3,200,Middle Income,73250.0,POINT (-117.74073028564452 34.09901809692383),1,1400000U,4017.07,8607,2.1058410675739228,4087.203033757847,0.11618450098756826
34.0990104675293,-118.0815200805664,6037481203,UNINCORPORATED,3,1600,Middle Income,79504.0,POINT (-118.0815200805664 34.0990104675293),2,1400000U,4812.03,6768,1.5593217934607009,4340.348495341268,0.29550827423167847
33.95663070678711,-118.36599731445312,6037601401,INGLEWOOD,3,2141,Low Income,56908.0,POINT (-118.36599731445312 33.95663070678711),4,1400000U,6014.01,6594,1.5730982869218002,4191.727913519616,0.6066120715802245
34.04425048828125,-117.74967956542967,6037402504,POMONA,3,1608,Low Income,34679.0,POINT (-117.74967956542967 34.04425048828125),1,1400000U,4025.04,2295,0.6003686606641463,3822.6512314303686,0.43572984749455335
33.97488021850586,-118.24127960205078,6037533002,UNINCORPORATED,4,1855,Low Income,55625.0,POINT (-118.24127960205078 33.97488021850586),2,1400000U,5330.02,2217,0.2877674606888501,7704.137204022318,0.9021199819576003
34.61191177368164,-118.19274139404295,6037910210,PALMDALE,3,1607,Middle Income,129757.0,POINT (-118.19274139404295 34.61191177368164),1,1400000U,9102.1,7166,3.169405903796163,2260.9915604110247,0.13954786491766677
33.901809692382805,-118.35487365722656,6037603901,LAWNDALE,3,1430,Middle Income,113500.0,POINT (-118.35487365722656 33.901809692382805),1,1400000U,6039.01,3807,0.735667227527882,5174.8941063923,0.2626740215392698
